TIME,RE,LE
2014-08-14 12:43:39.0000,0.0,0.0
2014-08-14 12:43:39.0006,0.0,0.0
2014-08-14 12:43:39.0012,-0.1,0.0
2014-08-14 12:43:39.0018,0.0,0.1
2014-08-14 12:43:39.0024,0.2,0.4
2014-08-14 12:43:39.0030,0.4,0.6
2014-08-14 12:43:39.0035,0.4,0.7
2014-08-14 12:43:39.0041,0.5,0.8
2014-08-14 12:43:39.0047,0.6,1.0
2014-08-14 12:43:39.0053,0.7,1.0
2014-08-14 12:43:39.0059,0.7,1.0
2014-08-14 12:43:39.0065,0.7,0.9
2014-08-14 12:43:39.0071,0.6,0.9
2014-08-14 12:43:39.0077,0.6,0.8
2014-08-14 12:43:39.0083,0.6,0.8
2014-08-14 12:43:39.0089,0.5,0.6
2014-08-14 12:43:39.0094,0.4,0.4
2014-08-14 12:43:39.0100,0.3,0.4
2014-08-14 12:43:39.0106,0.3,0.5
2014-08-14 12:43:39.0112,0.4,0.5
2014-08-14 12:43:39.0118,0.6,0.6
2014-08-14 12:43:39.0124,0.6,0.8
2014-08-14 12:43:39.0130,0.8,0.8
2014-08-14 12:43:39.0136,0.9,1.0
2014-08-14 12:43:39.0142,1.0,1.0
2014-08-14 12:43:39.0148,0.9,1.1
2014-08-14 12:43:39.0153,0.9,1.1
2014-08-14 12:43:39.0159,0.8,1.2
2014-08-14 12:43:39.0165,0.8,1.4
2014-08-14 12:43:39.0171,0.7,1.2
2014-08-14 12:43:39.0177,0.4,1.0
2014-08-14 12:43:39.0183,0.4,1.1
2014-08-14 12:43:39.0189,0.3,1.1
2014-08-14 12:43:39.0195,0.3,1.1
2014-08-14 12:43:39.0201,0.3,1.1
2014-08-14 12:43:39.0207,0.4,1.2
2014-08-14 12:43:39.0212,0.4,1.3
2014-08-14 12:43:39.0218,0.5,1.4
2014-08-14 12:43:39.0224,0.5,1.4
2014-08-14 12:43:39.0230,0.5,1.4
2014-08-14 12:43:39.0236,0.4,1.4
2014-08-14 12:43:39.0242,0.5,1.5
2014-08-14 12:43:39.0248,0.5,1.5
2014-08-14 12:43:39.0254,0.5,1.3
2014-08-14 12:43:39.0260,0.3,1.1
2014-08-14 12:43:39.0266,0.2,1.1
2014-08-14 12:43:39.0272,0.2,0.9
2014-08-14 12:43:39.0277,0.3,0.9
2014-08-14 12:43:39.0283,0.4,0.8
2014-08-14 12:43:39.0289,0.4,0.8
2014-08-14 12:43:39.0295,0.4,0.7
2014-08-14 12:43:39.0301,0.5,0.8
2014-08-14 12:43:39.0307,0.5,0.8
2014-08-14 12:43:39.0313,0.4,0.8
2014-08-14 12:43:39.0319,0.4,0.7
2014-08-14 12:43:39.0325,0.4,0.8
2014-08-14 12:43:39.0331,0.3,0.8
2014-08-14 12:43:39.0336,0.3,0.7
2014-08-14 12:43:39.0342,0.1,0.7
2014-08-14 12:43:39.0348,0.0,0.6
2014-08-14 12:43:39.0354,0.0,0.6
2014-08-14 12:43:39.0360,0.0,0.7
2014-08-14 12:43:39.0366,0.1,0.9
2014-08-14 12:43:39.0372,0.0,1.0
2014-08-14 12:43:39.0378,0.0,1.0
2014-08-14 12:43:39.0384,0.1,1.2
2014-08-14 12:43:39.0390,0.2,1.2
2014-08-14 12:43:39.0395,0.2,1.3
2014-08-14 12:43:39.0401,0.3,1.4
2014-08-14 12:43:39.0407,0.3,1.4
2014-08-14 12:43:39.0413,0.3,1.6
2014-08-14 12:43:39.0419,0.2,1.6
2014-08-14 12:43:39.0425,0.2,1.4
2014-08-14 12:43:39.0431,0.0,1.3
2014-08-14 12:43:39.0437,0.0,1.3
2014-08-14 12:43:39.0443,0.0,1.4
2014-08-14 12:43:39.0449,0.0,1.5
2014-08-14 12:43:39.0455,0.0,1.6
2014-08-14 12:43:39.0460,0.0,1.6
2014-08-14 12:43:39.0466,0.0,1.7
2014-08-14 12:43:39.0472,0.0,1.8
2014-08-14 12:43:39.0478,0.1,2.0
2014-08-14 12:43:39.0484,0.0,1.9
2014-08-14 12:43:39.0490,0.0,2.1
2014-08-14 12:43:39.0496,0.1,2.1
2014-08-14 12:43:39.0502,0.2,2.1
2014-08-14 12:43:39.0508,0.0,1.8
2014-08-14 12:43:39.0514,0.0,1.6
2014-08-14 12:43:39.0519,0.0,1.6
2014-08-14 12:43:39.0525,0.0,1.6
2014-08-14 12:43:39.0531,0.0,1.7
2014-08-14 12:43:39.0537,0.2,1.6
2014-08-14 12:43:39.0543,0.2,1.7
