TIME,RE,LE
2015-01-22 15:06:33.0000,0.0,0.0
2015-01-22 15:06:33.0006,-0.2,-0.5
2015-01-22 15:06:33.0012,-0.3,-0.5
2015-01-22 15:06:33.0018,-0.3,-0.4
2015-01-22 15:06:33.0024,-0.2,-0.4
2015-01-22 15:06:33.0030,0.0,-0.1
2015-01-22 15:06:33.0035,0.0,-0.1
2015-01-22 15:06:33.0041,0.1,0.0
2015-01-22 15:06:33.0047,0.2,0.0
2015-01-22 15:06:33.0053,0.3,0.1
2015-01-22 15:06:33.0059,0.4,0.0
2015-01-22 15:06:33.0065,0.5,0.1
2015-01-22 15:06:33.0071,0.5,0.0
2015-01-22 15:06:33.0077,0.4,-0.1
2015-01-22 15:06:33.0083,0.4,-0.2
2015-01-22 15:06:33.0089,0.3,-0.2
2015-01-22 15:06:33.0094,0.1,-0.3
2015-01-22 15:06:33.0100,0.1,-0.4
2015-01-22 15:06:33.0106,0.1,-0.4
2015-01-22 15:06:33.0112,0.1,-0.5
2015-01-22 15:06:33.0118,0.1,-0.6
2015-01-22 15:06:33.0124,0.2,-0.6
2015-01-22 15:06:33.0130,0.2,-0.7
2015-01-22 15:06:33.0136,0.2,-0.8
2015-01-22 15:06:33.0142,0.2,-1.0
2015-01-22 15:06:33.0148,0.1,-1.1
2015-01-22 15:06:33.0153,0.0,-1.2
2015-01-22 15:06:33.0159,-0.2,-1.3
2015-01-22 15:06:33.0165,-0.2,-1.4
2015-01-22 15:06:33.0171,-0.2,-1.3
2015-01-22 15:06:33.0177,-0.4,-1.4
2015-01-22 15:06:33.0183,-0.4,-1.4
2015-01-22 15:06:33.0189,-0.4,-1.5
2015-01-22 15:06:33.0195,-0.4,-1.6
2015-01-22 15:06:33.0201,-0.3,-1.6
2015-01-22 15:06:33.0207,-0.4,-1.6
2015-01-22 15:06:33.0212,-0.4,-1.5
2015-01-22 15:06:33.0218,-0.3,-1.4
2015-01-22 15:06:33.0224,-0.1,-1.3
2015-01-22 15:06:33.0230,-0.1,-1.4
2015-01-22 15:06:33.0236,0.0,-1.4
2015-01-22 15:06:33.0242,0.0,-1.3
2015-01-22 15:06:33.0248,0.0,-1.3
2015-01-22 15:06:33.0254,0.0,-1.2
2015-01-22 15:06:33.0260,-0.1,-1.1
2015-01-22 15:06:33.0266,-0.1,-1.0
2015-01-22 15:06:33.0272,0.0,-1.0
2015-01-22 15:06:33.0277,0.0,-0.9
2015-01-22 15:06:33.0283,0.0,-0.8
2015-01-22 15:06:33.0289,0.1,-0.7
2015-01-22 15:06:33.0295,0.2,-0.6
2015-01-22 15:06:33.0301,0.3,-0.6
2015-01-22 15:06:33.0307,0.5,-0.6
2015-01-22 15:06:33.0313,0.7,-0.7
2015-01-22 15:06:33.0319,0.7,-0.7
2015-01-22 15:06:33.0325,0.8,-0.8
2015-01-22 15:06:33.0331,0.7,-0.9
2015-01-22 15:06:33.0336,0.7,-1.0
2015-01-22 15:06:33.0342,0.5,-1.2
2015-01-22 15:06:33.0348,0.3,-1.2
2015-01-22 15:06:33.0354,0.2,-1.3
2015-01-22 15:06:33.0360,0.2,-1.4
2015-01-22 15:06:33.0366,0.3,-1.4
2015-01-22 15:06:33.0372,0.3,-1.4
2015-01-22 15:06:33.0378,0.5,-1.3
2015-01-22 15:06:33.0384,0.6,-1.2
2015-01-22 15:06:33.0390,0.6,-1.1
2015-01-22 15:06:33.0395,0.7,-0.9
2015-01-22 15:06:33.0401,0.7,-0.9
2015-01-22 15:06:33.0407,0.6,-0.8
2015-01-22 15:06:33.0413,0.6,-0.8
2015-01-22 15:06:33.0419,0.5,-0.7
2015-01-22 15:06:33.0425,0.2,-0.6
2015-01-22 15:06:33.0431,0.2,-0.5
2015-01-22 15:06:33.0437,0.0,-0.5
2015-01-22 15:06:33.0443,0.0,-0.6
2015-01-22 15:06:33.0449,0.1,-0.7
2015-01-22 15:06:33.0455,0.3,-0.7
2015-01-22 15:06:33.0460,0.5,-0.8
2015-01-22 15:06:33.0466,0.6,-0.9
2015-01-22 15:06:33.0472,0.6,-1.0
2015-01-22 15:06:33.0478,0.5,-1.1
2015-01-22 15:06:33.0484,0.6,-1.1
2015-01-22 15:06:33.0490,0.6,-1.2
2015-01-22 15:06:33.0496,0.7,-1.1
2015-01-22 15:06:33.0502,0.7,-1.0
2015-01-22 15:06:33.0508,0.6,-0.9
2015-01-22 15:06:33.0514,0.5,-1.0
2015-01-22 15:06:33.0519,0.3,-1.0
2015-01-22 15:06:33.0525,0.3,-1.1
2015-01-22 15:06:33.0531,0.3,-1.2
2015-01-22 15:06:33.0537,0.2,-1.4
2015-01-22 15:06:33.0543,0.3,-1.5
2015-01-22 15:06:33.0549,0.4,-1.7
2015-01-22 15:06:33.0555,0.4,-1.8
2015-01-22 15:06:33.0561,0.3,-1.9
2015-01-22 15:06:33.0567,0.3,-2.0
2015-01-22 15:06:33.0573,0.4,-1.9
2015-01-22 15:06:33.0578,0.4,-1.9
2015-01-22 15:06:33.0584,0.4,-1.8
2015-01-22 15:06:33.0590,0.3,-1.7
2015-01-22 15:06:33.0596,0.1,-1.6
2015-01-22 15:06:33.0602,0.0,-1.4
2015-01-22 15:06:33.0608,-0.2,-1.4
2015-01-22 15:06:33.0614,-0.2,-1.3
2015-01-22 15:06:33.0620,-0.1,-1.4
2015-01-22 15:06:33.0626,-0.1,-1.5
2015-01-22 15:06:33.0632,0.0,-1.4
2015-01-22 15:06:33.0637,0.0,-1.3
2015-01-22 15:06:33.0643,0.0,-1.5
2015-01-22 15:06:33.0649,0.1,-1.5
2015-01-22 15:06:33.0655,0.2,-1.5
2015-01-22 15:06:33.0661,0.4,-1.4
2015-01-22 15:06:33.0667,0.6,-1.4
2015-01-22 15:06:33.0673,0.6,-1.3
2015-01-22 15:06:33.0679,0.4,-1.3
2015-01-22 15:06:33.0685,0.4,-1.2
2015-01-22 15:06:33.0691,0.4,-1.2
2015-01-22 15:06:33.0697,0.5,-1.2
2015-01-22 15:06:33.0702,0.7,-1.1
2015-01-22 15:06:33.0708,0.8,-1.4
2015-01-22 15:06:33.0714,0.9,-1.5
2015-01-22 15:06:33.0720,1.0,-1.7
2015-01-22 15:06:33.0726,1.0,-2.0
2015-01-22 15:06:33.0732,0.9,-2.1
2015-01-22 15:06:33.0738,0.8,-2.4
2015-01-22 15:06:33.0744,0.8,-2.5
2015-01-22 15:06:33.0750,0.6,-2.8
2015-01-22 15:06:33.0756,0.3,-2.8
2015-01-22 15:06:33.0761,0.0,-2.8
2015-01-22 15:06:33.0767,-0.1,-2.6
2015-01-22 15:06:33.0773,-0.2,-2.5
2015-01-22 15:06:33.0779,-0.1,-2.4
2015-01-22 15:06:33.0785,0.0,-2.5
2015-01-22 15:06:33.0791,0.1,-2.6
2015-01-22 15:06:33.0797,0.0,-2.7
2015-01-22 15:06:33.0803,0.1,-2.7
2015-01-22 15:06:33.0809,0.2,-2.6
2015-01-22 15:06:33.0815,0.2,-2.5
2015-01-22 15:06:33.0820,0.3,-2.3
2015-01-22 15:06:33.0826,0.3,-2.1
2015-01-22 15:06:33.0832,0.3,-2.1
2015-01-22 15:06:33.0838,0.1,-2.0
2015-01-22 15:06:33.0844,-0.1,-1.9
2015-01-22 15:06:33.0850,-0.3,-1.8
2015-01-22 15:06:33.0856,-0.2,-1.8
2015-01-22 15:06:33.0862,-0.1,-1.8
2015-01-22 15:06:33.0868,0.0,-1.9
2015-01-22 15:06:33.0874,0.0,-2.1
2015-01-22 15:06:33.0880,0.0,-2.1
2015-01-22 15:06:33.0885,-0.1,-2.3
2015-01-22 15:06:33.0891,-0.2,-2.3
2015-01-22 15:06:33.0897,-0.2,-2.4
2015-01-22 15:06:33.0903,-0.2,-2.4
2015-01-22 15:06:33.0909,-0.3,-2.5
2015-01-22 15:06:33.0915,-0.4,-2.5
2015-01-22 15:06:33.0921,-0.5,-2.5
2015-01-22 15:06:33.0927,-0.9,-2.5
2015-01-22 15:06:33.0933,-0.9,-2.4
2015-01-22 15:06:33.0939,-0.9,-2.4
2015-01-22 15:06:33.0944,-0.7,-2.5
2015-01-22 15:06:33.0950,-0.7,-2.7
2015-01-22 15:06:33.0956,-0.8,-2.8
2015-01-22 15:06:33.0962,-0.8,-2.9
2015-01-22 15:06:33.0968,-0.8,-3.0
2015-01-22 15:06:33.0974,-0.8,-3.1
2015-01-22 15:06:33.0980,-0.8,-3.1
2015-01-22 15:06:33.0986,-0.8,-3.1
2015-01-22 15:06:33.0992,-0.8,-3.2
2015-01-22 15:06:33.0998,-0.9,-3.1
2015-01-22 15:06:33.1003,-1.1,-3.1
2015-01-22 15:06:33.1009,-1.5,-3.0
2015-01-22 15:06:33.1015,-1.7,-2.8
2015-01-22 15:06:33.1021,-1.8,-2.7
2015-01-22 15:06:33.1027,-1.7,-2.5
2015-01-22 15:06:33.1033,-1.6,-2.4
2015-01-22 15:06:33.1039,-1.5,-2.1
2015-01-22 15:06:33.1045,-1.5,-2.1
2015-01-22 15:06:33.1051,-1.3,-1.9
2015-01-22 15:06:33.1057,-1.0,-1.9
2015-01-22 15:06:33.1062,-0.9,-1.8
2015-01-22 15:06:33.1068,-0.8,-1.8
2015-01-22 15:06:33.1074,-0.8,-1.9
2015-01-22 15:06:33.1080,-0.7,-2.0
2015-01-22 15:06:33.1086,-0.7,-2.0
2015-01-22 15:06:33.1092,-0.9,-2.0
2015-01-22 15:06:33.1098,-1.0,-2.1
2015-01-22 15:06:33.1104,-1.0,-2.1
2015-01-22 15:06:33.1110,-0.9,-2.4
2015-01-22 15:06:33.1116,-0.7,-2.5
2015-01-22 15:06:33.1122,-0.7,-2.6
2015-01-22 15:06:33.1127,-0.7,-2.8
2015-01-22 15:06:33.1133,-0.7,-2.8
2015-01-22 15:06:33.1139,-0.8,-2.9
2015-01-22 15:06:33.1145,-0.7,-2.9
2015-01-22 15:06:33.1151,-0.9,-2.9
2015-01-22 15:06:33.1157,-0.9,-3.0
2015-01-22 15:06:33.1163,-1.0,-3.1
2015-01-22 15:06:33.1169,-0.9,-3.1
2015-01-22 15:06:33.1175,-0.9,-3.0
2015-01-22 15:06:33.1181,-1.0,-2.9
2015-01-22 15:06:33.1186,-0.8,-2.9
2015-01-22 15:06:33.1192,-0.6,-2.9
2015-01-22 15:06:33.1198,-0.6,-3.0
2015-01-22 15:06:33.1204,-0.6,-3.0
2015-01-22 15:06:33.1210,-0.6,-3.2
2015-01-22 15:06:33.1216,-0.6,-3.2
2015-01-22 15:06:33.1222,-0.5,-3.3
2015-01-22 15:06:33.1228,-0.5,-3.3
2015-01-22 15:06:33.1234,-0.7,-3.4
2015-01-22 15:06:33.1240,-0.7,-3.5
2015-01-22 15:06:33.1245,-0.8,-3.5
2015-01-22 15:06:33.1251,-0.8,-3.6
2015-01-22 15:06:33.1257,-1.0,-3.5
2015-01-22 15:06:33.1263,-1.2,-3.5
2015-01-22 15:06:33.1269,-1.3,-3.5
2015-01-22 15:06:33.1275,-1.3,-3.6
2015-01-22 15:06:33.1281,-1.4,-3.6
2015-01-22 15:06:33.1287,-1.2,-3.6
2015-01-22 15:06:33.1293,-1.1,-3.7
2015-01-22 15:06:33.1299,-1.0,-3.7
2015-01-22 15:06:33.1305,-0.8,-3.8
2015-01-22 15:06:33.1310,-0.7,-4.0
2015-01-22 15:06:33.1316,-0.6,-4.0
2015-01-22 15:06:33.1322,-0.5,-4.2
2015-01-22 15:06:33.1328,-0.5,-4.3
2015-01-22 15:06:33.1334,-0.5,-4.4
2015-01-22 15:06:33.1340,-0.7,-4.4
2015-01-22 15:06:33.1346,-1.0,-4.5
2015-01-22 15:06:33.1352,-1.1,-4.6
2015-01-22 15:06:33.1358,-1.3,-4.6
2015-01-22 15:06:33.1364,-1.3,-4.8
2015-01-22 15:06:33.1369,-1.3,-4.7
2015-01-22 15:06:33.1375,-1.1,-4.7
2015-01-22 15:06:33.1381,-1.2,-4.6
